原子序数,元素符号,中文名称,英文名称,周期,族,分类,相对原子质量,熔点(°C),沸点(°C),密度(g/cm³),电负性,发现年份
25,Mn,锰,Manganese,4,7,过渡金属,54.938,1246,2061,7.21,1.55,1774
26,Fe,铁,Iron,4,8,过渡金属,55.845,1538,2861,7.874,1.83,古代
27,Co,钴,Cobalt,4,9,过渡金属,58.933,1495,2927,8.90,1.88,1735
28,Ni,镍,Nickel,4,10,过渡金属,58.693,1455,2913,8.908,1.91,1751
29,Cu,铜,Copper,4,11,过渡金属,63.546,1084.6,2562,8.96,1.90,古代
30,Zn,锌,Zinc,4,12,过渡金属,65.38,419.5,907,7.14,1.65,1746
31,Ga,镓,Gallium,4,13,后过渡金属,69.723,29.8,2400,5.91,1.81,1875
32,Ge,锗,Germanium,4,14,类金属,72.630,938.3,2833,5.323,2.01,1886
33,As,砷,Arsenic,4,15,类金属,74.922,817,614,5.727,2.18,古代
34,Se,硒,Selenium,4,16,非金属,78.971,221,685,4.81,2.55,1817
35,Br,溴,Bromine,4,17,卤素,79.904,-7.3,59.3,2.96,2.96,1826
36,Kr,氪,Krypton,4,18,稀有气体,83.798,-157.4,-153.4,0.00375,—,1898
37,Rb,铷,Rubidium,5,1,碱金属,85.468,39.3,688,1.53,0.82,1861
38,Sr,锶,Strontium,5,2,碱土金属,87.62,777,1382,2.64,0.95,1790
39,Y,钇,Yttrium,5,3,过渡金属,88.906,1526,3336,4.47,1.22,1794
40,Zr,锆,Zirconium,5,4,过渡金属,91.224,1855,4409,6.52,1.33,1789
41,Nb,铌,Niobium,5,5,过渡金属,92.906,2477,4744,8.57,1.6,1801
42,Mo,钼,Molybdenum,5,6,过渡金属,95.95,2623,4639,10.28,2.16,1778
43,Tc,锝,Technetium,5,7,过渡金属,98,2157,4265,11.5,1.9,1937
44,Ru,钌,Ruthenium,5,8,过渡金属,101.07,2334,4150,12.37,2.2,1844
45,Rh,铑,Rhodium,5,9,过渡金属,102.91,1964,3695,12.41,2.28,1803
46,Pd,钯,Palladium,5,10,过渡金属,106.42,1554.9,2963,12.02,2.20,1803
47,Ag,银,Silver,5,11,过渡金属,107.87,961.8,2162,10.49,1.93,古代
48,Cd,镉,Cadmium,5,12,过渡金属,112.41,321.1,767,8.65,1.69,1817
49,In,铟,Indium,5,13,后过渡金属,114.82,156.6,2072,7.31,1.78,1863
50,Sn,锡,Tin,5,14,后过渡金属,118.71,231.9,2602,7.31,1.96,古代
51,Sb,锑,Antimony,5,15,类金属,121.76,630.6,1587,6.69,2.05,古代
52,Te,碲,Tellurium,5,16,类金属,127.60,449.5,988,6.23,2.1,1782
53,I,碘,Iodine,5,17,卤素,126.90,113.7,184.3,4.93,2.66,1811
54,Xe,氙,Xenon,5,18,稀有气体,131.29,-111.8,-108.0,0.00590,—,1898
55,Cs,铯,Cesium,6,1,碱金属,132.91,28.5,671,1.87,0.79,1860
56,Ba,钡,Barium,6,2,碱土金属,137.33,727,1845,3.62,0.89,1808
57,La,镧,Lanthanum,6,3,镧系元素,138.91,920,3464,6.15,1.10,1839
58,Ce,铈,Cerium,6,3,镧系元素,140.12,795,3443,6.77,1.12,1803
59,Pr,镨,Praseodymium,6,3,镧系元素,140.91,935,3520,6.77,1.13,1885
60,Nd,钕,Neodymium,6,3,镧系元素,144.24,1024,3074,7.01,1.14,1885
61,Pm,钷,Promethium,6,3,镧系元素,145,1042,3000,7.26,1.13,1945
62,Sm,钐,Samarium,6,3,镧系元素,150.36,1072,1794,7.52,1.17,1879
63,Eu,铕,Europium,6,3,镧系元素,151.96,826,1529,5.24,1.2,1901
64,Gd,钆,Gadolinium,6,3,镧系元素,157.25,1312,3273,7.90,1.20,1880
65,Tb,铽,Terbium,6,3,镧系元素,158.93,1356,3230,8.23,1.2,1843
66,Dy,镝,Dysprosium,6,3,镧系元素,162.50,1407,2567,8.55,1.22,1886
67,Ho,钬,Holmium,6,3,镧系元素,164.93,1461,2720,8.80,1.23,1878
68,Er,铒,Erbium,6,3,镧系元素,167.26,1529,2868,9.07,1.24,1843
69,Tm,铥,Thulium,6,3,镧系元素,168.93,1545,1950,9.32,1.25,1879
70,Yb,镱,Ytterbium,6,3,镧系元素,173.05,824,1466,6.90,1.1,1878
71,Lu,镥,Lutetium,6,3,镧系元素,174.97,1652,3402,9.84,1.27,1907
72,Hf,铪,Hafnium,6,4,过渡金属,178.49,2233,4603,13.31,1.3,1923
73,Ta,钽,Tantalum,6,5,过渡金属,180.95,3017,5458,16.69,1.5,1802
74,W,钨,Tungsten,6,6,过渡金属,183.84,3422,5555,19.25,2.36,1783
75,Re,铼,Rhenium,6,7,过渡金属,186.21,3186,5596,21.02,1.9,1925
76,Os,锇,Osmium,6,8,过渡金属,190.23,3033,5012,22.59,2.2,1803
77,Ir,铱,Iridium,6,9,过渡金属,192.22,2446,4428,22.56,2.20,1803
78,Pt,铂,Platinum,6,10,过渡金属,195.08,1768.3,3825,21.45,2.28,1735
79,Au,金,Gold,6,11,过渡金属,196.97,1064.2,2856,19.32,2.54,古代
80,Hg,汞,Mercury,6,12,过渡金属,200.59,-38.8,356.7,13.53,2.00,古代
81,Tl,铊,Thallium,6,13,后过渡金属,204.38,304,1473,11.85,1.62,1861
82,Pb,铅,Lead,6,14,后过渡金属,207.2,327.5,1749,11.34,2.33,古代
83,Bi,铋,Bismuth,6,15,后过渡金属,208.98,271.5,1564,9.79,2.02,1753
84,Po,钋,Polonium,6,16,后过渡金属,209,254,962,9.20,2.0,1898
85,At,砹,Astatine,6,17,卤素,210,302,337,—,2.2,1940
86,Rn,氡,Radon,6,18,稀有气体,222,-71,-61.7,0.00973,—,1900
87,Fr,钫,Francium,7,1,碱金属,223,27,677,—,0.7,1939
88,Ra,镭,Radium,7,2,碱土金属,226,700,1737,5.5,0.9,1898
89,Ac,锕,Actinium,7,3,锕系元素,227,1050,3200,10.07,1.1,1899
90,Th,钍,Thorium,7,3,锕系元素,232.04,1750,4788,11.72,1.3,1828
91,Pa,镤,Protactinium,7,3,锕系元素,231.04,1568,4027,15.37,1.5,1913
92,U,铀,Uranium,7,3,锕系元素,238.03,1132,4131,18.95,1.38,1789
93,Np,镎,Neptunium,7,3,锕系元素,237,644,4000,20.2,1.36,1940
94,Pu,钚,Plutonium,7,3,锕系元素,244,640,3228,19.84,1.28,1940
95,Am,镅,Americium,7,3,锕系元素,243,1176,2607,13.69,1.13,1944
96,Cm,锔,Curium,7,3,锕系元素,247,1340,3110,13.51,1.28,1944
97,Bk,锫,Berkelium,7,3,锕系元素,247,986,—,14.78,1.3,1949
98,Cf,锎,Californium,7,3,锕系元素,251,900,—,15.1,1.3,1950
99,Es,锿,Einsteinium,7,3,锕系元素,252,860,—,—,1.3,1952
100,Fm,镄,Fermium,7,3,锕系元素,257,1527,—,—,1.3,1952
101,Md,钔,Mendelevium,7,3,锕系元素,258,1100,—,—,1.3,1955
102,No,锘,Nobelium,7,3,锕系元素,259,1100,—,—,1.3,1958
103,Lr,铹,Lawrencium,7,3,锕系元素,266,1900,—,—,—,1961
104,Rf,𬬻,Rutherfordium,7,4,过渡金属,267,2100,—,—,—,1964
105,Db,𬭊,Dubnium,7,5,过渡金属,268,—,—,—,—,1967
106,Sg,𬭳,Seaborgium,7,6,过渡金属,269,—,—,—,—,1974
107,Bh,𬭶,Bohrium,7,7,过渡金属,270,—,—,—,—,1981
108,Hs,𬭛,Hassium,7,8,过渡金属,269,—,—,—,—,1984
109,Mt,鿏,Meitnerium,7,9,过渡金属,278,—,—,—,—,1982
110,Ds,𫟼,Darmstadtium,7,10,过渡金属,281,—,—,—,—,1994
111,Rg,𬬭,Roentgenium,7,11,过渡金属,282,—,—,—,—,1994
112,Cn,鿔,Copernicium,7,12,过渡金属,285,—,—,—,—,1996
113,Nh,鿭,Nihonium,7,13,后过渡金属,286,—,—,—,—,2004
114,Fl,𫓧,Flerovium,7,14,后过渡金属,289,—,—,—,—,1999
115,Mc,镆,Moscovium,7,15,后过渡金属,290,—,—,—,—,2003
116,Lv,𫟷,Livermorium,7,16,后过渡金属,293,—,—,—,—,2000
117,Ts,鿬,Tennessine,7,17,卤素,294,—,—,—,—,2010
118,Og,鿫,Oganesson,7,18,稀有气体,294,—,—,—,—,2006
